[官方 P2/P3] 训练 60000、评价干净 15000、对抗 k2 7500/krand 7500/maskdga 7500
[A] 分层 lr：骨干 23654400 参数 @1e-6，分类头 525826 参数 @1e-4
[A] 官方模型 24180226 参数，训练 60000 样本 × 3 epochs
[里程碑] A: clean={"AP": 0.99804, "FPR": 0.0132, "FNR": 0.02493, "F1": 0.98082, "FP": 99, "FN": 187, "n": 15000} adv={"AP": 1.0, "FPR": 0.0, "FNR": 0.36227, "F1": 0.7788, "FP": 0, "FN": 2717, "n": 7500}
[B] 分层 lr：骨干 23654400 参数 @1e-6，分类头 525826 参数 @1e-4
[B] 官方模型 24180226 参数，训练 60000 样本 × 3 epochs
[B 心跳] epoch 1 批 1/469 loss=0.3578 ETA 28.9 min
[B 心跳] epoch 1 批 21/469 loss=0.5128 ETA 20.6 min
[B 心跳] epoch 1 批 41/469 loss=0.2194 ETA 19.4 min
[B 心跳] epoch 1 批 61/469 loss=0.1709 ETA 17.8 min
[B 心跳] epoch 1 批 81/469 loss=0.1885 ETA 17.1 min
[B 心跳] epoch 1 批 101/469 loss=0.1038 ETA 16.5 min
[B 心跳] epoch 1 批 121/469 loss=0.2002 ETA 15.5 min
[B 心跳] epoch 1 批 141/469 loss=0.1185 ETA 14.7 min
[B 心跳] epoch 1 批 161/469 loss=0.0801 ETA 13.7 min
[B 心跳] epoch 1 批 181/469 loss=0.0482 ETA 12.7 min
[B 心跳] epoch 1 批 201/469 loss=0.1044 ETA 11.8 min
[B 心跳] epoch 1 批 221/469 loss=0.1698 ETA 10.8 min
[B 心跳] epoch 1 批 241/469 loss=0.1278 ETA 10.0 min
[B 心跳] epoch 1 批 261/469 loss=0.0710 ETA 9.2 min
[B 心跳] epoch 1 批 281/469 loss=0.0565 ETA 8.4 min
[B 心跳] epoch 1 批 301/469 loss=0.0520 ETA 7.5 min
[B 心跳] epoch 1 批 321/469 loss=0.1292 ETA 6.6 min
[B 心跳] epoch 1 批 341/469 loss=0.1120 ETA 5.8 min
[B 心跳] epoch 1 批 361/469 loss=0.0327 ETA 4.9 min
